doll name,脖围,肩宽（默认含手臂）,胸围（默认中胸）,腰围,臀围,臂长（肩到手腕）,大臂围,腿长（裆到脚底）,大腿围,小腿围,脚长,脚宽,备注
fuka漫画少女体,,11.7,23,14.5,24,18,7.5,33,16,11,6.9,2.7,
uf三分女,,11.8,24.5,15.8,27.7,17,6.9,30.5,16.3,10.7,6.5,2.5,s胸21
sdgr,,11,23.5,16.5,25.5,19,7.6,28.5,,,6.5,2.5,肩宽手动测量非官方
sd16,,13,27,16.3,26.5,18.7,,33,,,6.5,2.5,
as58,8.3,12,20.7,16.2,25,16.5,6.9,33.2,14.7,10.2,6.4,2.4,
as60,,12.5,24.5,17.6,26,18.5,8,38,16,10,6.8,2.8,
as62,,12.3,25.4,16.4,25.5,16.1,6.8,38,15.3,9.8,6.8,2.5,
as65窈窕,8.6,13.5,25.8,16.6,28.5,20,7.3,40,16.8,10.8,7.3,2.5,
fanff维密61,9.2,13.3,26.2,17.3,27.3,19,7.4,31.5,15.5,10.3,7.5,2.7,大胸27.5
fanff麻豆,9,13.1,25.7,17.7,26.5,18.5,7,30,14.8,9.8,7.5,2.7,
fanff麻豆2.0,9,13.3,26,17.7,27.3,19.1,7.4,32.5,15.5,10.1,7.5,2.7,
dz58,7.1,10,23,15,25,21.5,,33,14.5,,6.7,2.7,A胸21，臂长含手
dz70,9,14.8,27.7,17.3,29,27,,42.8,16.5,11.5,7,2.5,A胸26.7，C胸29，臂长含手
impl68,9,14.7,30,19,31,,,39,18.6,11.3,7.5,2.7,S胸29，L胸31
impl63超模,9,14.5,29,19.5,31,20,,37,17.5,10.5,7.1,2.7,S胸28.5，L胸30.5
impl62,8.8,13.5,27.5,17.7,30.5,,,36,15.2,10,6.6,2.6,S胸27，L胸29
impl63轻肌体,9,14,28,18,31,,,35.5,16.5,10,7,2.7,S胸27.5，L胸29.5
2d63,9,14,28.2,18.2,29.3,18.5,8.6,32.9,16.8,11.6,6.7,2.5, S胸27.5
2d64 2.0,9.5,14,30,20,30.5,20,8.5,33.5,18.5,12,8,3.2,S：28，L:32
2d68,10,14.5,32,21.5,33,20,9,33,20,12.5,7.8,3.2,"S:30,L:34"
珊瑚礁61玖二猫,8.2,11.3,24,15,27.3,18,,,15,10.2,,,"A:24,C:26"
珊瑚礁62圆润体,8.3,13,27.5,16.9,26.6,17.5,,37.1,16.8,12,7.5,2.8,"A:24.5, B:26.8.D：28"
ip sid新,9.7,11.5,27.5,19.3,27.8,20,7,40.5,15.4,,7.5,,大胸：28.5
ip yid,9.5,12,26.2,17.5,28.5,23,8,37,17,,,,小胸：24.5，大胸：27.2，臂长到手，腿长腰到脚底
ip eid,10.5,14,29.5,21,32,20.2,9,42,18.2,,7.5,,大胸：32，臂长到手，腿长从腰到脚底
ip hid,11,14.5,31.3,21,30,20,9,43.5,18,,7.5,,"小胸:30, 大胸：32.3， 臂长到手，腿长从腰到脚底"
ans59,8.5,11.5,23,17,25.2,17.3,,31,14.7,,6.5,2.5,大胸23.2
ans66,9,14,26.7,16.9,28.3,19,,36,17.2,10.1,6.7,2.6,
ans68,9.6,15,26,18.6,28.2,19.5,,37,16.8,10.3,7.7,2.7,
ae59,8.3,10.5,23,18,24.3,16.3,6.7,30.5,15.3,10.3,6,2.8,
ae63,8.5,10,27.5,18,26.5,18,7.2,36,,,6.5,2.5,
ae绵绵体,8.4,12.3,25.3,19.2,29.6,18.3,7.8,31,18.8,12.1,7.1,2.5,大胸：27.9，腰围（大胸）：18.1
luts65,9,15,24.5,16.5,26,18,,42,15.5,10.7,6.6,2.7,
luts sdf八代体,9,13.8,25,16.3,26,17.5,,36.5,15.8,10.6,6.5,2.6,腿长是大腿长+小腿长
春桃3分,9,14,27,18,31.5,27,,42,19,12,,,小胸：26，大胸：28，臂长含手
dad64,9.4,13.7,26.1,17.1,27.5,19,,33,15.7,10.8,6.7,2.7,大胸：27.4
白队长肌肉68,10,15.5,29.5,20.5,33.5,21,,36,18.5,12,,,
migi63,9.3,14,27.5,16.4,27,17.8,,33.2,15,,6.8,2.7,大胸：28.5
xaga c,8.5,10.5,21.5,17.5,25,14.5,,26,15,,6.7,2.5,
xaga d,8.2,10.5,23,15,23.5,17,7.1,32,15,10.2,6.7,2.5,
xaga新大女,9,12.3,27.2,17.5,29.5,19,8,33.5,17.8,11.5,7.3,2.7,小胸：26.7，大胸：29.5
sng64,9.4,13.5,26,17.3,27,24,,34,15.7,,7.2,,臂长含手
奶糖65,8.8,13.5,26,17.5,30,,,35,17.5,11,7.4,2.9,大胸：27.5
maskcat57,9,10.5,23,16.7,25,16.6,,28.5,15,11,6.7,,
pw,,11,21.5,17,25,18,,33,14.5,,6.7,,小胸：21，大胸：22
littlemonica,,14,26.4,16.3,25.7,23.5,,35,15.8,,6.5,,
唤想60,8.2,11.5,27,16.8,28.5,16,,32,17.2,10.5,7,,小胸：25，大胸：27.5
唤想62,8.5,11,25,16,29,18,,35,18,11.5,7,,大胸：27.5
唤想64,8.6,13.6,28.4,17.5,31.8,19,,35,18.5,12.5,7,,小胸：26，大胸：31.3
唤想62灵月体,8.7,13.2,25,16.5,28.5,18.5,,35.5,18.5,11.8,7,,大胸：27
谜凰66,8.5,10.5,24.5,16.6,26.4,20,,39.8,14.9,9.7,7.5,2.6,
雪豹体,8.9,13,23.3,16.1,29,18.3,,39,,,6,2.5,大胸：27
芋泥清酒体,9,13.5,27,18,28,19,,,16,12,6.7,2.4,大胸：29
龙魂58三代,8,10.4,24.2,16.8,25,17.1,6.7,32,,,6.8,2.8,
龙魂63一代,7.9,11.6,23.9,16.2,27.3,18.2,7.4,35.5,,,6.9,2.5,
龙魂69二代,8.6,12.1,23.4,16.6,29.15,19.6,7.4,40,,,6.8,2.6,
dfh58,9.3,12,24,17,26,17,,30,14.5,,6.5,2.5,小胸：23，大胸：28，腿长到脚踝
dfh68纤巧,9,13.5,26.5,16.3,28.3,21.5,8.3,37.3,16.2,12,7.2,2.8,腿长到脚踝
dfh63,9.3,13.5,26.5,17.5,28,18.5,,34,16.5,,6.5,2.5,小胸：24，大胸：29，腿长到脚踝
gem温雅体,8.6,13.3,26,16.9,27.3,23.5,6.5,36.5,15.8,9.6,6.8,2.7,臂长含手
gem温妮体,8.2,12.4,24.2,15.7,25.5,16.5,,34.5,14.5,8.9,7,2.7,
fl65,9.5,11.5,28,18.5,28.5,,,,15.5,,7,,
sj61,9.4,12.8,26.8,19.2,33.8,18.3,,41,18.5,,7.5,,大胸：29.3，腿长腰到拇指
sj64,9.3,13.6,27,18.8,32,19,,43.2,18.5,,7.5,,大胸：29，腿长腰到拇指